Название продукта,Категория продукта,Цена продукта,Город
Дорада Заморженая 800-1000 гр/шт Турция,Рыба,5 000 Т,Алматы
Чилийский Сибас стейк-подкова,Рыба,55 000 Т,Алматы
Сардины с овощами Adriatic Queen 105 гр,Рыба,1 480 Т,Алматы
"Угольная рыба 1,5-2 кг",Рыба,10 500 Т,Алматы
Pesce Azzurro Анчоусы в масле 46 гр ж/б,Рыба,1 800 Т,Алматы
Черная Треска стейк-подкова,Рыба,55 000 Т,Алматы
Pesce Azzurro Анчоусы в масле 140 гр ст/б,Рыба,4 200 Т,Алматы
Pesce Azzurro Анчоусы в масле 720 гр ж/б,Рыба,17 500 Т,Алматы
Тунец Альбакор филе,Рыба,8 500 Т,Алматы
Сибас Чилийский с/м б/г 6/8,Рыба,45 000 Т,Алматы
Макрель филе в растительном масле Adriatic Queen 105 гр,Рыба,1 480 Т,Алматы
Сибас замороженный 600-800 гр,Рыба,4 900 Т,Алматы
Семга охлажденная с/г 4/5 Чили,Рыба,11 590 Т,Алматы
Окунь 500-700 гр свежемороженный без головы,Рыба,3 890 Т,Алматы
Семга филе на шкуре холодного копчения (целый пласт),Рыба,16 490 Т,Алматы
Хек тушка 450/600 Уругвай,Рыба,4 200 Т,Алматы
Дорадо тушка горячего копчения до 800 гр,Рыба,9 990 Т,Алматы
Сибас тушка горячего копчения до 800 гр,Рыба,9 990 Т,Алматы
Беринг Печень трески с/к 230 гр,Рыба,3 800 Т,Алматы
Pesce Azzurro Анчоусы в масле 78 гр ст/б,Рыба,3 300 Т,Алматы
Беринг Печень трески ст/б 230 гр,Рыба,4 300 Т,Алматы
Тунец для салатов в собственном соку Беринг 185 гр,Рыба,1 600 Т,Алматы
Pesce Azzurro Тунец в оливковом масле 270 гр ст/б,Рыба,5 200 Т,Алматы
Палтус филе на шкуре холодного копчения,Рыба,26 800 Т,Алматы
Pesce Azzurro Тунец в оливковом масле 190 гр ст/б,Рыба,3 500 Т,Алматы
Medusa салат из морепродуктов 200 гр,Рыба,3 990 Т,Алматы
Тунец бланшированный в масле Беринг 200 гр,Рыба,2 400 Т,Алматы
