Название продукта,Категория продукта,Цена продукта,Город
"Кокосовое Масло Aroy-D, 180 мл",Масло,2 700 Т,Алматы
Масло оливковое Frantoia со вкусом Шалфея 250 мл,Масло,4 800 Т,Алматы
Оливковое Масло Hualdo Cornicabra 250 мл,Масло,4 800 Т,Алматы
Оливковое Масло Hualdo Picual 250 мл,Масло,4 800 Т,Алматы
Оливковое масло Hualdo Arbequina 250 мл,Масло,4 800 Т,Алматы
Muraglia Масло оливковое в керам/б Осьминог 500 мл,Масло,17 800 Т,Алматы
Оливковое Масло Hualdo Manzanilla 250 мл,Масло,4 800 Т,Алматы
Muraglia Масло оливковое в керам/б Омар 500 мл,Масло,17 800 Т,Алматы
Muraglia Масло оливковое в ж/б Радужная 250 мл,Масло,4 500 Т,Алматы
Muraglia Масло оливковое в керам/б Кактус  500 мл,Масло,17 800 Т,Алматы
Muraglia Масло оливковое в керам/б Радужная 500 мл,Масло,17 800 Т,Алматы
Muraglia Масло оливковое Сардины в керам/б 500 мл,Масло,17 800 Т,Алматы
Barbera Масло оливковое FILTRATO (фильтрованное) 750 мл KF,Масло,9 500 Т,Алматы
Barbera Масло оливковое NON FILTRATO (нефильтр) 750 мл KF,Масло,8 800 Т,Алматы
Сыр творожный «Профичиз» 200 гр,Сыры,1 500 Т,Алматы
Vega Mancha Сыр Манчего выдержанный с белым трюфелем кусковой 150 гр +/-,Сыры,30 000 Т,Алматы
Сыр Манчего 2-3 месяца Vega Mancha кусковой ±150 гр,Сыры,29 800 Т,Алматы
Vega Mancha  Semicurado Сыр Манчего 2-3 месяца кусковой 150 гр,Сыры,29 800 Т,Алматы
"Ghidetti Сыр Parmigiano Dop 18 мес, кусковой",Сыры,22 000 Т,Алматы
Vega Mancha Сыр Манчего выдержанный Diablo кусковой 200 гр,Сыры,29 800 Т,Алматы
"Luigi Guffanti Буонасорте сыр твердый,24 месяца кусковой ±300 гр",Сыры,24 500 Т,Алматы
Vega Mancha Сыр Манчего выдержанный с белыми грибами кусковой 200 гр,Сыры,29 800 Т,Алматы
Сыр творожный Cremette 200 гр,Сыры,1 000 Т,Алматы
"Ghidetti Сыр Grana Padano Dop 10-12 мес, кусковой",Сыры,25 000 Т,Алматы
Ghidetti Сыр Рикотта 295 гр,Сыры,2 800 Т,Алматы
Ghidetti Сыр Проволоне с орегано 200 гр,Сыры,3 800 Т,Алматы
"Ghidetti Сыр Маскарпоне 42%, 250 гр",Сыры,3 000 Т,Алматы
Ghidetti Сыр Проволоне Валпадана Дольче 200 гр,Сыры,3 800 Т,Алматы
Сыр творожный Профичиз 70% Хорека 2 кг,Сыры,8 800 Т,Алматы
"Vega Mancha Сыр Манчего выдержанный с белым трюфелем круг 3,4 кг +/-",Сыры,24 990 Т,Алматы
"Luigi Guffanti Буонасорте сыр твердый на буйволином молоке, 24 месяца кусковой ±300 гр",Сыры,35 500 Т,Алматы
Ghidetti Сыр Проволоне Дольче 200 гр,Сыры,3 800 Т,Алматы
Ghidetti Сыр Проволоне Валпадана Пикантный 200 гр,Сыры,3 800 Т,Алматы
"Luigi Guffanti Горгонзола Дольче сыр мягкий, кусковой 250-300 гр.",Сыры,23 500 Т,Алматы
"Luigi Guffanti Пьяве Веччо сыр полутвердый, кусковой 250-300 гр",Сыры,28 500 Т,Алматы
"Luigi Guffanti Пьяве Меззано сыр полутвердый, кусковой 250-300 гр",Сыры,26 800 Т,Алматы
"Luigi Guffanti Пьяве Оро сыр полутвердый, кусковой 250-300 гр",Сыры,29 900 Т,Алматы
"Ghidetti Сыр Grana Padano Dop 10-12 мес, 1 кг",Сыры,17 500 Т,Алматы
"Сыр Манчего полувыдержанный 2-3 месяца Vega Mancha круг 3,4 кг",Сыры,25 990 Т,Алматы
Ghidetti Сыр твердый Gran Guardia 1 кг,Сыры,14 500 Т,Алматы
"Luigi Guffanti Пьяве Веччо сыр полутвердый, круг 6.5 кг",Сыры,27 500 Т,Алматы
"Luigi Guffanti Пьяве Оро сыр полутвердый, круг 6.5 кг",Сыры,28 900 Т,Алматы
